,Date,Mention Content,Processed Content,Year-Month,Length
5538,2020-07-10,"RT @markknoller: Air Force One lands in Miami. Press pool reports Pres Trump took questions for about 25 minutes during the flight, but it was off-the-record except for comments on China. He said he's not thinking about a new China trade deal, blaming China for spread of Coronavirus.",air force one lands  miami press pool reports pres trump took questions   25 minutes   flight    --record except  comments  china     thinking   new china trade deal blaming china  spread  coronavirus,2020-07,200
5539,2020-07-10,"President Trump continues to blame China for COVID-19 in the US, but his policies have helped spread it around the world. RT @nytimes: Over the past 4 months, the United States has deported almost 40,000 immigrants. An investigation by The New York Times and The Marshall Project reveals how Immigration and Customs Enforcement became a domestic and global spreader of the coronavirus. https://www.nytimes.com/video/us/100000007122997/ice-deportations-coronavirus-video.html?smid=tw-nytimes&smtyp=cur",president trump continues  blame china  covid-19      policies  helped spread  around  world    past 4 months  united states  deported almost 40000 immigrants  investigation   new york times   marshall project reveals  immigration  customs enforcement became  domestic  global spreader   coronavirus,2020-07,299
5540,2020-07-10,RT @Vmbritsch: In Colorado Cory Gardner has a radio ad for his re-election that blames China for our problems with Covid 19 not Trump because he thinks we are what to stupid to know he is complicit in the national disgrace he has become backing #TraitorTrump #VoteHickenlooper,colorado cory gardner   radio ad   -election  blames china   problems  covid 19  trump   thinks     stupid  know   complicit   national disgrace   become backing traitortrump votehickenlooper,2020-07,191
5541,2020-07-11,"RT @SariArhoHavren: Trump said he isn’t focused on a next phase of the US trade deal w China, adding that the relationship has been “severely damaged” by the coronavirus pandemic. Trump blamed China for not stopping the spread of the coronavirus. https://www.cnbc.com/2020/07/10/trump-says-us-china-relationship-damaged-phase-2-trade-deal-not-a-priority.html?__source=iosappshare%7Ccom.apple.UIKit.activity.PostToTwitter",trump    focused   next phase    trade deal w china adding   relationship   “severely damaged”   coronavirus pandemic trump blamed china   stopping  spread   coronavirus,2020-07,169
5542,2020-07-11,"RT @slipperyhero: Huh? The #lesson I'd have taken away from a global #pandemic wreaking havoc on the American economy & society is we need more international cooperation, not less. Funny, trump blames China for #Covid_19 when it was trump who removed our #virologists there. https://www.cnn.com/2020/05/29/health/who-trump-termination-reaction/index.html",huh  lesson   taken away   global pandemic wreaking havoc   american economy & society   need  international cooperation  less funny trump blames china  covid_19    trump  removed  virologists,2020-07,192
5543,2020-07-11,"RT @Khanoisseur: Trump knew he could always blame China (stoke anti-Asian sentiments) and blame WHO for his own missteps — that was his fallback strategy from Day 1 instead of working on a nationally coordinated coronavirus strategy so all states could contain/reopen in lockstep, repair economy. RT @frontlinepbs: After CDC official Dr. Nancy Messonnier issued a dire warning about the spread of COVID-19 in the U.S. in late Feb., President Trump continued to say the threat from the virus was low — and measures like strict social distancing were put off. WATCH: https://www.pbs.org/wgbh/frontline/film/the-virus/",trump knew   always blame china  stoke anti-asian sentiments   blame     missteps —    fallback strategy  day 1 instead  working   nationally coordinated coronavirus strategy   states  containreopen  lockstep repair economy   cdc official dr nancy messonnier issued  dire warning   spread  covid-19   u  late feb president trump continued    threat   virus  low —  measures  strict social distancing  put  watch,2020-07,411
5544,2020-07-11,"RT @Khanoisseur: Instead of synchronizing coronavirus containment with governors, Trump exacerbated the dysfunctional state-federal relationships by launching partisan attacks and blaming governors who wanted to proceed with caution, proving he was incapable of managing a large, complex system. RT @Khanoisseur: Trump knew he could always blame China (stoke anti-Asian sentiments) and blame WHO for his own missteps — that was his fallback strategy from Day 1 instead of working on a nationally coordinated coronavirus strategy so all states could contain/reopen in lockstep, repair economy.",instead  synchronizing coronavirus containment  governors trump exacerbated  dysfunctional state-federal relationships  launching partisan attacks  blaming governors  wanted  proceed  caution proving   incapable  managing  large complex system  trump knew   always blame china  stoke anti-asian sentiments   blame     missteps —    fallback strategy  day 1 instead  working   nationally coordinated coronavirus strategy   states  containreopen  lockstep repair economy,2020-07,468
5545,2020-07-11,"RT @Khanoisseur: Instead of synchronizing coronavirus containment with governors, Trump exacerbated the dysfunctional state-federal relationships by launching partisan attacks and blaming governors who wanted to proceed with caution, proving he was incapable of managing a large, complex system. https://twitter.com/khanoisseur/status/1282007211007512576 RT @Khanoisseur: Trump knew he could always blame China (stoke anti-Asian sentiments) and blame WHO for his own missteps — that was his fallback strategy from Day 1 instead of working on a nationally coordinated coronavirus strategy so all states could contain/reopen in lockstep, repair economy. https://twitter.com/frontlinepbs/status/1281823538509381632",instead  synchronizing coronavirus containment  governors trump exacerbated  dysfunctional state-federal relationships  launching partisan attacks  blaming governors  wanted  proceed  caution proving   incapable  managing  large complex system   trump knew   always blame china  stoke anti-asian sentiments   blame     missteps —    fallback strategy  day 1 instead  working   nationally coordinated coronavirus strategy   states  containreopen  lockstep repair economy,2020-07,469
5546,2020-07-11,"RT @DjcurtC: People n AMERICA, how are we the People is going to blame China and DeSantis said he knew the Coronavirus out there in January. So if DeSantis knew about the Coronavirus, how in hell did demon #TRUMP not know.",people n america     people  going  blame china  desantis   knew  coronavirus    january   desantis knew   coronavirus   hell  demon trump  know,2020-07,144
5547,2020-07-11,he also is still blaming china. Gov. Andrew Cuomo has confirmed our covid arrived from europe. trump really needs to take notes! maybe print this stuff on mcdonald's wrappers with pictures pointing to europe. RT @AlamoOnTheRise: It's July 11th and Trump still doesn’t have an adequate national covid-19 testing strategy.,still blaming china gov andrew cuomo  confirmed  covid arrived  europe trump really needs  take notes maybe print  stuff  mcdonald wrappers  pictures pointing  europe   july 11th  trump still    adequate national covid-19 testing strategy,2020-07,238
5548,2020-07-11,"@joebiden Blame China you ignorant and senile man. #Kungfluvirus RT @JoeBiden: The United States has over 3 million cases of COVID-19, and over 130,000 people have died — yet Donald Trump continues to say it will just ""fade away."" It’s unbelievable. We're paying the price for this president's incompetence every single day.","blame china  ignorant  senile man kungfluvirus   united states   3 million cases  covid-19   130000 people  died — yet donald trump continues      ""fade away""  unbelievable  paying  price   president incompetence every single day",2020-07,229
5549,2020-07-12,"I don’t want to hear SHIT from anyone blaming China for this ever again RT @SethAbramson: BREAKING (WSJ): ""Scientists found traces of the [SARS-CoV-2] virus in wastewater samples collected in Brazil beginning in late November [2019]."" This further confirms the COVID-19 timeline in Proof of Corruption and evidence the Trump White House knew of the virus in fall 2019.","want  hear shit  anyone blaming china   ever   breaking  wsj  ""scientists found traces   [sars-cov-2] virus  wastewater samples collected  brazil beginning  late november [2019]""   confirms  covid-19 timeline  proof  corruption  evidence  trump white house knew   virus  fall 2019",2020-07,280
5550,2020-07-12,"still beating the same old worn out drum since February..if I hadn't close the borders from China ..How many reported deaths in China? How many reported deaths in Italy? I'm yet to hear other world leaders blaming China. They all did what was necessary to defeat the virus RT @JoeBiden: The United States has over 3 million cases of COVID-19, and over 130,000 people have died — yet Donald Trump continues to say it will just ""fade away."" It’s unbelievable. We're paying the price for this president's incompetence every single day.","still beating   old worn  drum since february   close  borders  china  many reported deaths  china  many reported deaths  italy  yet  hear  world leaders blaming china      necessary  defeat  virus   united states   3 million cases  covid-19   130000 people  died — yet donald trump continues      ""fade away""  unbelievable  paying  price   president incompetence every single day",2020-07,380
5551,2020-07-12,"@eddi50845185 @BrenXoxo_ @DOTARDUS @JaneNoName0 @MelanieInMiami @jordansetacci @ChicagoPhotoSho @realDonaldTrump You know who wasn’t blaming China in January? Trump. He wants you to blame China now because other countries successfully contained it in January and he didn’t. Failure. RT @realDonaldTrump: China has been working very hard to contain the Coronavirus. The United States greatly appreciates their efforts and transparency. It will all work out well. In particular, on behalf of the American People, I want to thank President Xi!",know   blaming china  january trump  wants   blame china    countries successfully contained   january    failure  china   working  hard  contain  coronavirus  united states greatly appreciates  efforts  transparency    work  well  particular  behalf   american people  want  thank president xi,2020-07,294
5552,2020-07-12,RT @Donald_Lindeman: @maggieNYT Anyone who is half a wit can see that Trump is trying to blame Fauci for America's Covid-19 travails just as he has been trying to blame China for same,anyone   half  wit  see  trump  trying  blame fauci  america covid-19 travails      trying  blame china,2020-07,103
5553,2020-07-12,"RT @FederalistJC: @wendy_soxy1girl @dmb1031 @MCampbell1041 Obama/Biden weaponized the IRS and DOJ against his enemies. Trump blamed China for Covid, Joe called him racist. Both Biden and Trump spend like drunken sailors. Biden will raise taxes thru the roof. Don’t lecture me on the constitution when you support an anti-2a candidate.",obamabiden weaponized  irs  doj   enemies trump blamed china  covid joe called  racist  biden  trump spend  drunken sailors biden  raise taxes thru  roof  lecture    constitution   support  anti-2a candidate,2020-07,207
5554,2020-07-12,"Jan, 3. It makes a big difference in what could have been done to stop all these deaths. Trump can blame China because of where it may have come from. But, it only matters what was done/not done once it got here. RT @yabutaleb7: Thread on what we found: The White House got its first formal notification about coronavirus on Jan 3. Within days, US spy agencies were signaling the seriousness of the threat by including the first of many warnings in the President’s Daily Brief https://www.washingtonpost.com/national-security/2020/04/04/coronavirus-government-dysfunction/?arc404=true",jan 3  makes  big difference      done  stop   deaths trump  blame china     may  come     matters   done done   got   thread    found  white house got  first formal notification  coronavirus  jan 3 within days  spy agencies  signaling  seriousness   threat  including  first  many warnings   president daily brief,2020-07,314
5555,2020-07-12,"RT @miladysmama: @Delavegalaw Well, pretending the coronavirus was going to magically disappear didn't work. Then racist names for covid & blaming China never caught on. So Trump's latest strategy: blame Fauci. Anything to avoid responsibility.",well pretending  coronavirus  going  magically disappear  work  racist names  covid & blaming china never caught   trump latest strategy blame fauci anything  avoid responsibility,2020-07,179
5556,2020-07-12,"@realDonaldTrump is completely clueless. #TrumpGolfsAmericansDie RT @miladysmama: @Delavegalaw Well, pretending the coronavirus was going to magically disappear didn't work. Then racist names for covid & blaming China never caught on. So Trump's latest strategy: blame Fauci. Anything to avoid responsibility.",completely clueless trumpgolfsamericansdie   well pretending  coronavirus  going  magically disappear  work  racist names  covid & blaming china never caught   trump latest strategy blame fauci anything  avoid responsibility,2020-07,224
5557,2020-07-13,"Some western politicians have the mindset that whenever something bad happen, China is to blame. Take the Covid-19 pandemic as an example, Trump administration spent too much time and energy on blaming China and neglected handling the virus. They could have saved more lives. RT @tsenroute: @wangxh65 I’m already waiting for the statement by the US administration blaming China for this incident 🙄",western politicians   mindset  whenever something bad happen china   blame take  covid-19 pandemic   example trump administration spent  much time  energy  blaming china  neglected handling  virus    saved  lives    already waiting   statement    administration blaming china   incident 🙄,2020-07,288
5558,2020-07-13,So if anyone in Colorado has heard Cory Gardner's radio ads now we know he does support tRump. His ad blames China for covid here and he says he wants to get back at them for it. RT @BoycottUtah: @glennkirschner2 @YouTube Let's see. The POTUS just claimed that China engaged in a biological attack on the United States. His response...Tweet about it or whine about it? If anyone else were President we would be in DEFCON 1 if it were really true and China would be talking real fast.,anyone  colorado  heard cory gardner radio ads   know   support trump  ad blames china  covid      wants  get back        let see  potus  claimed  china engaged   biological attack   united states  responsetweet    whine    anyone else  president     defcon 1    really true  china   talking real fast,2020-07,301
5559,2020-07-13,"If the Republicans wouldn't spend so much time just covering up for all Trump's screw-ups, they could help with the fight against the coronavirus that Trump gave up on, quit covering up for Trump and start protecting American citizens from the virus it's getting worse RT @HKrassenstein: Blaming China for his mistakes didn’t work, so now Trump is shifting the blame to Dr. Fauci. Get ready for Fox News to demand his arrest any day now.",republicans  spend  much time  covering    trump screw-ups   help   fight   coronavirus  trump gave   quit covering   trump  start protecting american citizens   virus  getting worse  blaming china   mistakes  work   trump  shifting  blame  dr fauci get ready  fox news  demand  arrest  day,2020-07,290
5560,2020-07-13,"RT @JohnLukeSam1: Taking no responsibility, Trump has blamed China for COVID-19 labeling it the China virus & Kung-flu. Next, he blamed the governors. Then he blamed the W.H.O. & defunded them, & then Obama. So now he's blaming the CDC & Fauci. Who's next to blame, God? https://www.msn.com/en-us/news/politics/providing-no-evidence-trump-tweets-message-attacking-cdc-doctors-as-lying/ar-BB16G5aR",taking  responsibility trump  blamed china  covid-19 labeling   china virus & kung-flu next  blamed  governors   blamed  wh & defunded  &  obama    blaming  cdc & fauci  next  blame god,2020-07,185
5561,2020-07-13,"RT @xstrawberrypink: This is YOUR fault, Trump. Stop blaming China. We knew about this in Jan. You should of done something then. Other countries are recovering. But not the US. People’s lives need to be valued more then this awful capitalistic economy/system the US has. #trump #coronavirus RT @realDonaldTrump: As I watch the Pandemic spread its ugly face all across the world, including the tremendous damage it has done to the USA, I become more and more angry at China. People can see it, and I can feel it!",fault trump stop blaming china  knew    jan    done something   countries  recovering     people lives need   valued    awful capitalistic economysystem    trump coronavirus    watch  pandemic spread  ugly face  across  world including  tremendous damage   done   usa  become    angry  china people  see     feel,2020-07,312
5562,2020-07-13,Blame China blame Dr Fauci is Trump's strategies in fighting COVID-19. RT @washingtonpost: Opinion: New efforts to undermine Anthony Fauci blow up in Trump's face https://www.washingtonpost.com/opinions/2020/07/13/trumps-rage-dr-fauci-just-boomeranged-back-him/?utm_medium=social&utm_source=twitter&utm_campaign=wp_main,blame china blame dr fauci  trump strategies  fighting covid-19  opinion new efforts  undermine anthony fauci blow   trump face,2020-07,127
5563,2020-07-14,"@tribelaw Then this. Trump's logic breaks. He blames China for COVID-19. Then he says ""they'll"" buy it. Who? Buy what? #crazyTrump #TwentyFifthAmendment https://twitter.com/atrupar/status/1282754329817030662?s=19 RT @atrupar: ""They're buying. Whether they buy or not, that's up to them. They're buying."" -- Trump is totally incoherent","trump logic breaks  blames china  covid-19    """" buy   buy  crazytrump twentyfifthamendment   "" buying whether  buy        buying""trump  totally incoherent",2020-07,155
5564,2020-07-14,"#TrumpPressConference ~ He blames China for concealing the #CoronaVirus The same thing Trump has been doing since day one..!! ~ This is a disguised #HateRally..!! Evening of Lying on & #BashingBiden RT @lesleyabravanel: @FLOTUS As long as your 'husband' continues to squat in the White House from which It continues to fan the flames of racism and pathological propaganda, this country is, well, fucked. #BeBest #TrumpGenocide",trumppressconference ~  blames china  concealing  coronavirus   thing trump    since day one ~    disguised haterally evening  lying  & bashingbiden    long   husband continues  squat   white house    continues  fan  flames  racism  pathological propaganda  country  well fucked bebest trumpgenocide,2020-07,299
5565,2020-07-14,"RT @BillTzamaras: The trump guy fake president held a 63 minute rambling event in the Rose Garden. Slurred and unhinged speech, barely addressed the COVID-19 crisis that's killing thousands of Americans except to briefly blame China. He's horrible. #TrumpIsTheWORSTPresidentEVER #PresidentFUBAR",trump guy fake president held  63 minute rambling event   rose garden slurred  unhinged speech barely addressed  covid-19 crisis  killing thousands  americans except  briefly blame china  horrible trumpistheworstpresidentever presidentfubar,2020-07,240
